"ranking","school_name","instate_tuition","outstate_tuition","room_and_board","enrollment","school_type","religious_affiliation","acad_calendar","setting_urban","setting_suburb","endowment","salary","accept_rate","stud_fac_ratio","four_year_grad_rate"
"69","Texas A&M University--College Station",10968,36636,10436,67580,0,0,1,1,"0",1.08e+10,57900,0.7,20,0.54
"70","Florida State University",6507,21673,10458,41362,0,0,1,1,"0",639400000,46400,0.49,22,0.63
"71","Fordham University",52248,52248,17969,16037,1,1,1,1,"0",691100000,53100,0.46,15,0.74
"72","Stevens Institute of Technology",52202,52202,15244,6771,1,0,1,1,"0",183900000,69000,0.44,10,0.42
"73","University of California--Santa Cruz",13949,41963,16407,19457,0,0,0,0,"1",188700000,52000,0.51,19,0.55
"74","University of Massachusetts--Amherst",15887,34570,13202,30340,0,0,1,0,"1",323600000,53900,0.57,18,0.67
"75","University of Pittsburgh",19080,32052,11050,28642,0,0,1,1,"0",3.9e+09,53200,0.6,14,0.65
"76","University of Minnesota--Twin Cities",14693,30371,10312,51848,0,0,1,1,"0",3.3e+09,54100,0.5,17,0.64
"77","Virginia Tech",13620,31304,8408,34440,0,0,1,0,"0",987600000,60000,0.7,14,0.63
"78","American University",48459,48459,14880,13858,1,1,1,0,"1",6.22e+08,48500,0.29,11,0.76
"79","Baylor University",45542,45542,7800,17059,1,1,1,1,"0",1.2e+09,51300,0.39,14,0.6
"80","Binghamton University--SUNY",9808,24488,15058,17342,0,0,1,0,"1",109300000,55400,0.4,19,0.73
"81","Colorado School of Mines",18964,38584,13169,6117,0,0,1,0,"1",246100000,69700,0.56,16,0.55
"82","North Carolina State University--Raleigh",9101,28444,11078,34432,0,0,1,1,"0",1.1e+09,55400,0.51,13,0.5
"83","Stony Brook University--SUNY",9624,26934,13698,25989,0,0,1,0,"1",2.34e+08,54400,0.42,18,0.53
"84","Texas Christian University",46950,46950,12804,10489,1,1,1,0,"1",1.5e+09,51200,0.41,13,0.69
"85","Yeshiva University",43500,43500,12250,6311,1,0,1,1,"0",506200000,53400,0.63,7,0.76
"86","Michigan State University",14460,39750,10272,50019,0,0,1,0,"1",3.1e+09,52200,0.72,16,0.52
"87","University of California--Riverside",13887,42879,16000,23278,0,0,0,1,"0",231100000,50700,0.57,22,0.53
"88","University of San Diego",49358,49358,12980,8905,1,1,0,1,"0",503600000,54000,0.5,14,0.7
"89","Howard University",26756,26756,13895,9392,1,0,1,1,"0",646600000,51500,0.41,8,0.43
"90","Indiana University--Bloomington",10681,35456,10465,43710,0,0,1,1,"0",1.1e+09,49700,0.76,17,0.63
"91","Loyola University Chicago",44048,44048,14480,16673,1,1,1,1,"0",593500000,49100,0.71,14,0.69
"92","Marquette University",41870,41870,12720,11426,1,1,1,1,"0",626200000,54000,0.89,14,0.59
"93","University at Buffalo--SUNY",10028,27758,13723,30648,0,0,1,0,"1",659200000,51100,0.57,13,0.57
"94","University of Delaware",13680,34310,12864,22970,0,0,0,0,"1",1.4e+09,54800,0.6,13,0.73
"95","University of Iowa",8965,30609,10450,32166,0,0,1,1,"0",1.4e+09,49600,0.86,16,0.54
"96","Illinois Institute of Technology",47646,47646,13192,7164,1,0,1,1,"0",241900000,61400,0.54,12,0.32
"97","Miami University--Oxford",14825,33577,13031,19700,0,0,1,0,"0",512400000,53300,0.68,17,0.67
"98","University of Colorado--Boulder",12534,37288,14418,35230,0,0,1,1,"0",596400000,53400,0.8,18,0.45
"99","University of Denver",50556,50556,13005,11434,1,0,0,1,"0",711300000,50600,0.58,11,0.65
"100","University of San Francisco",48066,48066,14830,11080,1,1,1,1,"0",349600000,54900,0.66,13,0.67
"101","University of Vermont",18276,42516,12462,13340,0,0,1,0,"1",453300000,49300,0.67,17,0.62
"102","Clarkson University",49444,49444,15222,4233,1,0,1,0,"0",191100000,63800,0.66,13,0.58
"103","Drexel University",52002,52002,13890,21940,1,0,0,1,"0",707600000,59900,0.79,11,0
"104","Rochester Institute of Technology",44130,44130,13046,15346,1,0,1,0,"1",847200000,60300,0.57,12,0.28
"105","University of Oregon",11898,35478,12963,22887,0,0,0,1,"0",828500000,48300,0.83,17,0.52
"106","New Jersey Institute of Technology",16898,31918,13808,11446,0,0,1,1,"0",112400000,60900,0.61,17,0.28
"107","Saint Louis University",43996,43996,12290,12098,1,1,1,1,"0",1.1e+09,50600,0.64,9,0.68
"108","SUNY College of Environmental Science and Forestry",8568,18218,16140,2215,0,0,1,1,"0",35900000,52200,0.52,13,0
